X_deg,Y_deg,GridCellArea,AUTO,Pop,CurrentHVLineDist,PlannedHVLineDist,TransformerDist,CurrentMVLineDist,PlannedMVLineDist,ResidentialDemandTierCustom,IsUrban,PerCapitaDemand,Productive_demand,Productive_nodes,AgriDemand,Conflict,CommercialDemand,NumPeoplePerHH,TotalEnergyPerCell,MG_Hydro2030,MG_PV2030,MG_Wind2030,MG_Diesel2030,SA_Diesel2030,SA_PV2030,Minimum_Tech_Off_grid2030,Minimum_LCOE_Off_grid2030
33.941,-14.31452,4.00915,15416,2173.5778,24.93296,24.93296,5.84223,4.63622,4.63622,254.9722222,0,43.8,0,0,0,0,0,5.5,156601.3754,99,0.362373329,99,0.751774362,0.744269964,0.390214329,MG_PV2030,0.362373329
35.30275,-15.3163,3.98594,16405,219.58089,8.17174,8.17174,4.20663,4.20598,4.20598,79.35714286,0,43.8,0,0,0,0,0,5.5,15820.3076,99,0.679778687,99,1.07984718,0.701532981,0.420839799,SA_PV2030,0.420839799
34.80531,-15.39218,3.95809,15002,2932.57582,5.32327,5.32327,5.70416,2.93205,2.93205,112.187037,0,43.8,0,0,0,0,0,5.5,211285.4699,99,0.339407623,99,0.728845358,0.729186323,0.38469153,MG_PV2030,0.339407623
34.32008,-13.59445,3.95381,15867,6312.22069,1.83835,1.83835,0.8896,0.80188,0.80188,210.9642857,0,43.8,0,0,0,0,0,5.5,454781.2559,99,0.254707955,99,0.644837222,0.745107608,0.369368765,MG_PV2030,0.254707955
35.32898,-15.92121,3.93777,11524,3306.04066,6.2033,6.2033,1.29217,1.3029,1.3029,257.125,0,43.8,0,0,0,0,0,5.5,238192.7688,99,0.336021802,99,0.720161202,0.712426386,0.393919512,MG_PV2030,0.336021802
34.23026,-11.65229,3.92451,16002,5136.8382,5.52556,5.52556,2.10933,0.0205,0.0205,66.51587302,0,43.8,0,0,0,0,0,5.5,370097.6,99,0.267369826,99,0.64851508,0.714102681,0.388100908,MG_PV2030,0.267369826
33.80364,-13.48514,3.92386,16942,3046.39433,23.45197,23.45197,5.14763,5.18718,5.18718,255.6666667,0,43.8,0,0,0,0,0,5.5,219485.8367,99,0.333408012,99,0.725862857,0.730862115,0.377325488,MG_PV2030,0.333408012
35.45491,-15.58019,3.91288,14860,2658.5595,24.30666,24.30666,4.75484,4.56157,4.56157,98.04365079,0,43.8,0,0,0,0,0,5.5,191543.2124,99,0.349299353,99,0.734687843,0.729186323,0.395104233,MG_PV2030,0.349299353
34.67536,-16.23131,3.90989,14474,4105.14744,19.84457,19.84457,1.72848,1.72544,1.72544,77.97222222,0,43.8,0,0,0,0,0,5.5,295766.609,99,0.32392447,99,0.708001764,0.735889995,0.393919512,MG_PV2030,0.32392447
35.47078,-15.82973,3.88765,14713,1063.17512,24.64412,24.64412,6.6259,6.29879,6.29879,32.22222222,0,43.8,0,0,0,0,0,5.5,76599.36813,99,0.420274017,99,0.814090334,0.728348175,0.38982836,SA_PV2030,0.38982836
33.51639,-14.01523,3.87846,15622,5003.86847,22.02332,9.11211,0.83241,0.53716,0.53716,241.2222222,0,43.8,0,0,0,0,0,5.5,360517.431,99,0.265355779,99,0.648756697,0.710750594,0.382637352,MG_PV2030,0.265355779
34.36059,-14.34898,3.87064,10445,5865.73932,3.60049,3.60049,3.47469,1.11739,1.11739,83.90277778,0,43.8,0,0,0,0,0,5.5,422613.2808,99,0.270488435,99,0.645779016,0.737565788,0.403188207,MG_PV2030,0.270488435
33.91452,-13.8195,3.83298,15710,2360.93493,1.89678,1.89678,0.43404,0.30773,0.30773,232.3531746,0,43.8,0,0,0,0,0,5.5,170100.0338,99,0.348000632,99,0.740591185,0.704046921,0.377325488,MG_PV2030,0.348000632
33.69736,-9.99546,3.83206,16045,1866.47364,11.91523,11.91523,12.70189,8.33586,8.33586,103.5185185,0,43.8,0,0,0,0,0,5.5,134475.2137,99,0.368142678,99,0.764033117,0.836447602,0.385443982,MG_PV2030,0.368142678
35.2269,-15.4959,3.82728,14930,7496.17635,0.96619,0.96619,0.25937,0.26578,0.26578,271.2718254,0,43.8,0,0,0,0,0,5.5,540082.5894,99,0.267994235,99,0.638284563,0.697342745,0.409897527,MG_PV2030,0.267994235
35.16143,-16.50274,3.81946,14421,4340.44596,9.25684,9.25684,1.59723,1.06573,1.06573,100.7027778,0,43.8,0,0,0,0,0,5.5,312719.3363,99,0.314756247,99,0.703596718,0.733376055,0.381895806,MG_PV2030,0.314756247
33.60162,-13.78955,3.79315,15746,4618.31692,3.29231,3.29231,9.22663,9.23711,9.23711,224.8240741,0,43.8,0,0,0,0,0,5.5,332739.3119,99,0.312228438,99,0.699915171,0.731700263,0.383755085,MG_PV2030,0.312228438
33.70541,-13.46382,2.75685,1792,3864.20349,14.59364,14.59364,2.96895,2.85517,2.85517,213.6041667,0,43.8,0,0,0,0,0,5.5,278407.1411,99,0.262822872,99,0.648432064,0.755163369,0.381341531,MG_PV2030,0.262822872
35.07894,-15.53268,2.75615,14914,1023.91307,11.06219,11.06219,5.34091,5.4142,5.4142,91.26388889,0,43.8,0,0,0,0,0,5.5,73770.62603,99,0.398851541,99,0.784326021,0.755163369,0.406096313,MG_PV2030,0.398851541
34.84436,-14.42629,2.74878,4871,1570.88951,11.79404,11.79404,19.41841,19.41841,19.41841,53.55555556,0,43.8,0,0,0,0,0,5.5,113179.0442,99,0.358007037,99,0.747967061,0.749297844,0.388675022,MG_PV2030,0.358007037
34.3184,-14.11456,2.72894,15560,2560.0424,10.12327,10.12327,6.74579,6.72054,6.72054,228.1388889,0,43.8,0,0,0,0,0,5.5,184445.2777,99,0.326673367,99,0.717095722,0.80125244,0.386578197,MG_PV2030,0.326673367
33.6583,-13.52729,2.72668,15898,1774.0373,6.94107,6.94107,3.08121,3.09942,3.09942,329.8732639,0,43.8,0,0,0,0,0,5.5,127815.384,99,0.346691977,99,0.737741898,0.730023967,0.382637352,MG_PV2030,0.346691977
33.58335,-13.70368,2.72662,15802,3354.46782,9.30607,9.30607,1.51514,1.53435,1.53435,232.5115741,0,43.8,0,0,0,0,0,5.5,241681.8364,99,0.268147047,99,0.651187832,0.739242083,0.386388698,MG_PV2030,0.268147047
34.4766,-13.76455,2.72393,15757,2367.38941,2.70447,2.70447,1.33958,1.35698,1.35698,173.4305556,0,43.8,0,0,0,0,0,5.5,170565.0645,99,0.320503232,99,0.719747183,0.754325724,0.362572651,MG_PV2030,0.320503232
34.7134,-14.46014,2.71369,10452,1018.60709,7.04582,7.04582,8.18831,6.87222,6.87222,63.76388889,0,43.8,0,0,0,0,0,5.5,73388.34214,99,0.388464386,99,0.783605188,0.761029397,0.384129115,SA_PV2030,0.384129115
33.85111,-11.02167,2.70961,16022,19463.99969,10.423,10.423,0.29313,0.22089,0.22089,506.2777778,0,43.8,0,0,0,0,0,5.5,1402337.253,99,0.232074026,99,0.618983857,0.724996087,0.370410218,MG_PV2030,0.232074026
34.85683,-15.00275,2.70853,15154,4453.73166,1.19229,1.19229,0.47379,0.46099,0.46099,253.5763889,0,43.8,0,0,0,0,0,5.5,320881.3154,99,0.262004921,99,0.643835084,0.737565788,0.387719107,MG_PV2030,0.262004921
35.81027,-15.83101,2.70827,14709,2252.98611,36.42331,36.42331,5.49251,5.13148,5.13148,38.625,0,43.8,0,0,0,0,0,5.5,162322.5649,99,0.337404308,99,0.723196964,0.77276095,0.395898013,MG_PV2030,0.337404308
34.70158,-14.94635,2.70353,10460,1561.1026,12.13061,12.13061,5.85702,5.85702,5.85702,84.25132275,0,43.8,0,0,0,0,0,5.5,112473.9194,99,0.361454045,99,0.74797853,0.768571218,0.398298607,MG_PV2030,0.361454045
33.83041,-13.71766,2.6989,15786,3631.37885,9.14628,9.14628,0.55453,0.60917,0.60917,188.1527778,0,43.8,0,0,0,0,0,5.5,261632.6512,99,0.306555644,99,0.693766207,0.704046921,0.381341531,MG_PV2030,0.306555644
35.36929,-15.47572,2.67828,7709,4219.09986,9.79143,9.79143,2.90949,2.85652,2.85652,265.1027778,0,43.8,0,0,0,0,0,5.5,303976.6237,99,0.26980713,99,0.644504293,0.729186323,0.403601098,MG_PV2030,0.26980713
35.05396,-15.92333,2.66809,16208,3362.29598,2.87267,2.87267,0.58116,0.21526,0.21526,354.0444444,0,43.8,0,0,0,0,0,5.5,242245.8377,99,0.280340689,99,0.64879776,0.6965051,0.41595406,MG_PV2030,0.280340689
35.5697,-14.50013,2.64082,15313,4476.06312,7.78859,7.78859,2.02454,2.06081,2.06081,71.53703704,0,43.8,0,0,0,0,0,5.5,322490.2467,99,0.271505184,99,0.643612273,0.749297844,0.411180461,MG_PV2030,0.271505184
33.91021,-14.41478,2.63579,12966,1947.88963,32.84207,32.84207,4.13736,3.7767,3.7767,197.6111111,0,43.8,0,0,0,0,0,5.5,140341.052,99,0.342791771,99,0.730280685,0.76019125,0.392155694,MG_PV2030,0.342791771
34.04735,-14.07017,2.61822,15588,2915.81501,3.94288,3.94288,1.28428,0.45053,0.45053,153.1388889,0,43.8,0,0,0,0,0,5.5,210077.8913,99,0.315355628,99,0.703823758,0.712426386,0.380972907,MG_PV2030,0.315355628
34.94416,-16.47428,2.61742,10194,3458.75227,4.03466,4.03466,3.88276,3.89607,3.89607,73.7037037,0,43.8,0,0,0,0,0,5.5,249195.2957,99,0.311631185,99,0.69633157,0.745107608,0.391182603,MG_PV2030,0.311631185
33.73317,-14.44057,2.61577,4893,1878.54964,51.73568,51.73568,7.98976,7.91609,7.91609,186.4305556,0,43.8,0,0,0,0,0,5.5,135345.2622,99,0.344127962,99,0.732117543,0.758515457,0.391182603,MG_PV2030,0.344127962
34.93906,-14.85714,2.61063,10771,2683.70316,5.67328,5.67328,3.97462,3.9677,3.9677,210.1309524,0,43.8,0,0,0,0,0,5.5,193354.7564,99,0.322991174,99,0.710377471,0.76521913,0.389250837,MG_PV2030,0.322991174
35.34067,-15.51368,2.61042,14926,2571.41799,9.96243,9.96243,5.47665,5.47665,5.47665,254.1785714,0,43.8,0,0,0,0,0,5.5,185264.8633,99,0.331515766,99,0.711116459,0.724158442,0.403807861,MG_PV2030,0.331515766
34.31279,-11.65401,2.60388,14217,3432.81923,3.42997,3.42997,3.921,3.94368,3.94368,81.24074074,0,43.8,0,0,0,0,0,5.5,247326.8787,99,0.308122208,0.494152161,0.695523059,0.722482147,0.382823188,MG_PV2030,0.308122208
34.5809,-14.88174,2.59284,15185,2536.93509,12.62989,12.62989,0.86853,0.21295,0.21295,187.6944444,0,43.8,0,0,0,0,0,5.5,182780.4481,99,0.327595387,99,0.713762345,0.779465126,0.393919512,MG_PV2030,0.327595387
34.45936,-14.48626,2.58299,5055,3385.63548,4.1148,4.1148,0.89536,0.53623,0.53623,238.5659722,0,43.8,0,0,0,0,0,5.5,243927.396,99,0.269343477,99,0.651182714,0.780302771,0.392741876,MG_PV2030,0.269343477
34.53414,-14.50147,2.57798,15312,2590.70525,1.35381,1.35381,4.96023,4.98698,4.98698,199.2604167,0,43.8,0,0,0,0,0,5.5,186654.4668,99,0.33486949,99,0.712579986,0.787844591,0.413987891,MG_PV2030,0.33486949
34.60927,-14.32753,2.56786,13050,535.24678,8.58748,8.58748,5.80851,5.61598,5.61598,51.08888889,0,43.8,0,0,0,0,0,5.5,38563.32261,99,0.444399924,99,0.846991763,0.76019125,0.378230779,SA_PV2030,0.378230779
35.08714,-15.41919,2.56262,14986,717.67132,18.18609,18.18609,3.44153,3.44153,3.44153,47.22222222,0,43.8,0,0,0,0,0,5.5,51706.59904,99,0.420188312,99,0.812036377,0.740917876,0.395104233,SA_PV2030,0.395104233
34.01092,-14.38558,2.54283,15392,3302.92772,21.55068,21.55068,4.51436,0.56118,0.56118,224.25,0,43.8,0,0,0,0,0,5.5,237968.4885,99,0.313007799,99,0.697218964,0.745945756,0.392546287,MG_PV2030,0.313007799
33.8107,-9.80129,2.53631,14350,2099.324,13.05323,13.05323,1.88341,1.90876,1.90876,50.12962963,0,43.8,0,0,0,0,0,5.5,151251.5567,99,0.324956995,99,0.723853714,0.781140919,0.366449532,MG_PV2030,0.324956995
34.65373,-15.39459,2.52477,7476,5926.54279,19.94475,0.33749,0.07303,0.12738,0.12738,249.4930556,0,43.8,0,0,0,0,0,5.5,426994.0336,99,0.263118624,99,0.637082823,0.758515457,0.406515185,MG_PV2030,0.263118624
33.98642,-14.28262,2.50006,15436,3163.80482,18.83976,18.83976,0.14167,0.18593,0.18593,266.2400794,0,43.8,0,0,0,0,0,5.5,227944.9975,99,0.269271702,99,0.65015784,0.732537908,0.390601063,MG_PV2030,0.269271702
33.92709,-9.93738,2.49108,16054,21839.99036,0.73364,0.73364,0.07944,0.05847,0.05847,466.9761905,0,43.8,0,0,0,0,0,5.5,1573522.019,99,0.224737478,0.447935849,0.61878358,0.771923306,0.357962282,MG_PV2030,0.224737478
35.35748,-15.91451,2.48455,14656,3364.78015,9.30728,9.30728,0.22806,0.14742,0.14742,216.0225694,0,43.8,0,0,0,0,0,5.5,242424.8165,99,0.268140218,99,0.647289223,0.705722713,0.391765877,MG_PV2030,0.268140218
35.28186,-15.08757,2.48208,15129,1864.80653,3.78391,3.78391,4.20085,1.84553,1.84553,61.61111111,0,43.8,0,0,0,0,0,5.5,134355.1022,99,0.341285599,99,0.727380658,0.715778474,0.390988564,MG_PV2030,0.341285599
35.50471,-15.27895,2.47976,10793,997.99302,22.50242,22.50242,4.20867,4.11376,4.11376,66.55555556,0,43.8,0,0,0,0,0,5.5,71903.14492,99,0.381559953,99,0.775643666,0.721644502,0.381710869,MG_PV2030,0.381559953
35.51548,-15.69521,2.4669,10468,1365.9179,35.82346,35.82346,2.86846,2.61113,2.61113,91.11111111,0,43.8,0,0,0,0,0,5.5,98411.30222,99,0.362059814,99,0.750225563,0.745945756,0.392937659,MG_PV2030,0.362059814
34.25652,-14.07853,2.46232,15583,2459.38321,8.86402,8.86402,0.30028,0.21506,0.21506,147.4777778,0,43.8,0,0,0,0,0,5.5,177193.0102,99,0.270397565,99,0.656942099,0.735051848,0.378958146,MG_PV2030,0.270397565
34.74069,-14.75199,2.46219,15241,1653.34945,7.54586,7.54586,6.96049,6.86219,6.86219,155.2777778,0,43.8,0,0,0,0,0,5.5,119120.0968,99,0.34776706,99,0.737451877,0.776951186,0.38982836,MG_PV2030,0.34776706
34.64282,-14.67443,2.45717,5512,3582.57098,7.75059,7.75059,7.19982,7.06919,7.06919,270.0138889,0,43.8,0,0,0,0,0,5.5,258116.1543,99,0.310334547,99,0.692820305,0.775274891,0.398298607,MG_PV2030,0.310334547
